id,name,host_id,neighbourhood,latitude,longitude,room_type,price
36720,"Beautiful 2 rooms flat, Glockenbach",158413,Ludwigsvorstadt-Isarvorstadt,48.13057,11.56929,Entire home/apt,95
49309,Sublet - Apartment with Balcony in Downtown (1),224802,Ludwigsvorstadt-Isarvorstadt,48.12456,11.55567,Private room,40
97945,Deluxw-Apartm. with roof terrace,517685,Hadern,48.11476,11.48782,Entire home/apt,80
114695,Apartment Munich/East with sundeck,581737,Berg am Laim,48.11923,11.63726,Entire home/apt,95
127383,City apartment next to Pinakothek,630556,Maxvorstadt,48.15198,11.56486,Entire home/apt,120
157808,"Near Olympia,English Garden",759734,Schwabing-West,48.16381,11.56089,Private room,35
159634,"Fancy, bright central roof top flat",765694,Pasing-Obermenzing,48.13898,11.46612,Entire home/apt,55
170154,"Own floor & bath, parking & breakfast",108297,Sendling-Westpark,48.10751,11.52733,Private room,55
170815,Your own flat near central station!,814793,Neuhausen-Nymphenburg,48.16132,11.54154,Entire home/apt,65
171749,1min to subway - Wettersteinplatz,819382,Untergiesing-Harlaching,48.10583,11.57843,Private room,55
172672,Cozy guest room in high-end flat.,823913,Schwabing-West,48.16341,11.56366,Private room,54
172977,Beautiful room close to centre,825767,Maxvorstadt,48.14816,11.55449,Private room,67
178114,Cozy Studio Apt in Central Munich,189876,Maxvorstadt,48.15341,11.57267,Entire home/apt,59
179640,GREEN OASIS near center & tradefair,860212,Bogenhausen,48.14574,11.63908,Private room,35
183634,munich all-inclusive camping,880705,Allach-Untermenzing,48.17449,11.44619,Shared room,50
186596,2-room-flat in central location,910486,Au-Haidhausen,48.12198,11.57644,Shared room,85
187359,Charming apartment near City Center,901209,Neuhausen-Nymphenburg,48.15849,11.54106,Private room,69
187386,"bedroom, with 2 single beds and tv",901512,Berg am Laim,48.12199,11.62761,Private room,59
189551,Beautiful Attic Floor Dwelling,914449,Schwanthalerhöhe,48.1354,11.54618,Entire home/apt,120
189582,CLASSY APARTMENT in Munich,914564,Bogenhausen,48.15672,11.64901,Private room,19
189606,"Nice apartment near river ""Isar""",914691,Au-Haidhausen,48.12551,11.58045,Entire home/apt,51
190383,WOW! direct binding to trade fairs,919644,Berg am Laim,48.12452,11.63223,Private room,25
190453,TRADE FAIR WITHIN WALKING DISTANCE!,919721,Tudering-Riem,48.13211,11.69417,Entire home/apt,200
190474,Lovely furnished in Glockenbacharea,919917,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Entire home/apt,180
190529,Beautiful room Glockenbacharea,919917,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,50
190564,Lovely room in Glockenbacharea,919917,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,90
190565,Beautiful in the Glockenbacharea,919917,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,80
190653,Pretty and renovated apartment ,919917,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,60
191405,Single Apartment in Central Munich,925836,Au-Haidhausen,48.12175,11.57879,Entire home/apt,65
191429,Munich City Center for long term,925882,Ludwigsvorstadt-Isarvorstadt,48.12821,11.55607,Private room,32
191535,City apartment in running distance to Oktoberfest,926189,Sendling,48.11468,11.53897,Private room,240
192933,Artist's Studio Glockenbach area,934964,Ludwigsvorstadt-Isarvorstadt,48.13012,11.56642,Shared room,70
193424,Nice apartment with sunny balcony,938363,Schwabing-Freimann,48.15262,11.5846,Entire home/apt,85
193463,* Munich-Schwabing-  super- clean - central-room*,938552,Maxvorstadt,48.15519,11.5715,Private room,46
193477,* Munich- Schwabing- super pretty- room *,938552,Maxvorstadt,48.15617,11.56845,Private room,36
194533,Traumhaftes Ambiente - Neuhausen,944911,Neuhausen-Nymphenburg,48.14822,11.5398,Entire home/apt,120
194638,absolutely centrally located app.,945347,Schwabing-Freimann,48.17141,11.5944,Entire home/apt,120
195293,Stylish Apartment No.24,949632,Schwabing-West,48.164,11.56706,Private room,45
195371,Souterrain-Zimmer mit eigenem Bad,949953,Feldmoching-Hasenbergl,48.19444,11.53349,Private room,29
195388,apartment for 4 people,949998,Ramersdorf-Perlach,48.10141,11.60523,Entire home/apt,75
195444,Modern room in ancient building,950268,Ludwigsvorstadt-Isarvorstadt,48.12092,11.56138,Private room,55
195452,DOWNTOWN 1aFlat in ancient building,950268,Ludwigsvorstadt-Isarvorstadt,48.1214,11.55984,Entire home/apt,95
196127,huge room in the heart of Munich ,954566,Ludwigsvorstadt-Isarvorstadt,48.13274,11.57445,Private room,30
